cusip,investmentdiscretion,nameofissuer,othermanager,putcall,shrsorprnamt,titleofclass,value,votingauthority
125896100,SOLE,CMS ENERGY CORP,1,,,COM,56866390,
204166102,SOLE,COMMVAULT SYS INC,1,,,COM,41089288,
20464U100,SOLE,COMPASS INC,1,,,CL A,174002,
20717MAB9,SOLE,CONFLUENT INC,1,,,NOTE 1/1,89593577,
20717M103,SOLE,CONFLUENT INC,1,Call,,CLASS A COM,36893340,
21871X109,SOLE,COREBRIDGE FINL INC,1,,,COM,64288101,
G25508105,SOLE,CRH PLC,1,,,ORD,21457544,
23204G100,SOLE,CUSTOMERS BANCORP INC,1,,,COM,5135467,
M2682V108,SOLE,CYBERARK SOFTWARE LTD,1,,,SHS,32713120,
23804L103,SOLE,DATADOG INC,1,,,CL A COM,61042750,
25402DAB8,SOLE,DIGITALOCEAN HLDGS INC,1,,,NOTE 12/0,27740511,
254687106,SOLE,DISNEY WALT CO,1,,,COM,75078223,
25809K105,SOLE,DOORDASH INC,1,,,CL A,28653059,
26210CAC8,SOLE,DROPBOX INC,1,,,NOTE 3/0,122390549,
26210CAD6,SOLE,DROPBOX INC,1,,,NOTE 3/0,95625363,
26614N102,SOLE,DUPONT DE NEMOURS INC,1,,,COM,31160000,
285512109,SOLE,ELECTRONIC ARTS INC,1,,,COM,22187000,
29355AAH0,SOLE,ENPHASE ENERGY INC,1,,,NOTE 3/0,978138,
29355A107,SOLE,ENPHASE ENERGY INC,1,,,COM,3539000,
29364G103,SOLE,ENTERGY CORP NEW,1,,,COM,31460012,
G32089107,SOLE,ETORO GROUP LTD,1,,,SHS CL A,6820445,
29786AAJ5,SOLE,ETSY INC,1,,,NOTE 0.125%10/0,33962435,
30052F100,SOLE,EVGO INC,1,,,CL A COM,18920000,
30161N101,SOLE,EXELON CORP,1,,,COM,6076350,
303250104,SOLE,FAIR ISAAC CORP,1,,,COM,249921,
316841105,SOLE,FIGMA INC,1,,,CLASS A COM STK,6361856,
349381103,SOLE,FIGURE TECHNOLOGY SOLUTIO,1,,,COM CL A,81231740,
31946M103,SOLE,FIRST CTZNS BANCSHARES INC D,1,,,CL A,6662832,
336433107,SOLE,FIRST SOLAR INC,1,,,COM,11857457,
336433107,SOLE,FIRST SOLAR INC,1,Call,,COM,22053000,
G3643J108,SOLE,FLUTTER ENTMT PLC,1,,,SHS,124559314,
345370CZ1,SOLE,FORD MTR CO,1,,,NOTE 3/1,137714780,
36317J209,SOLE,GALAXY DIGITAL INC.,1,,,CL A,9257178,
36168Q104,SOLE,GFL ENVIRONMENTAL INC,1,,,SUB VTG SHS,41457500,
37940XAU6,SOLE,GLOBAL PMTS INC,1,,,NOTE 1.500% 3/0,214575702,
37959E102,SOLE,GLOBE LIFE INC,1,,,COM,20802135,
38141G104,SOLE,GOLDMAN SACHS GROUP INC,1,,,COM,7613902,
405166109,SOLE,HAGERTY INC,1,,,CL A COM,1235436,
G42706104,SOLE,HAMILTON INSURANCE GROUP LTD,1,,,CL B,2976000,
410345102,SOLE,HANESBRANDS INC,1,,,COM,7743883,
42238D107,SOLE,HEARTFLOW INC,1,,,COM,2218059,
433313103,SOLE,HINGE HEALTH INC,1,,,CL A,3855725,
438516106,SOLE,HONEYWELL INTL INC,1,,,COM,21050000,
444859102,SOLE,HUMANA INC,1,,,COM,15595630,
451107106,SOLE,IDACORP INC,1,,,COM,53381067,
G4766E116,SOLE,INDIVIOR PLC,1,,,ORD,32641685,
45828L108,SOLE,INTEGRAL AD SCIENCE HLDNG CO,1,,,COM,20238300,
45841N107,SOLE,INTERACTIVE BROKERS GROUP IN,1,,,COM CL A,108998962,
460690100,SOLE,INTERPUBLIC GROUP COS INC,1,,,COM,40500285,
461202103,SOLE,INTUIT,1,,,COM,5593716,
46137V357,SOLE,INVESCO EXCHANGE TRADED FD T,1,,,S&P500 EQL WGT,157377966,
46434G764,SOLE,ISHARES INC,1,,,MSCI EMRG CHN,23944852,
464286509,SOLE,ISHARES INC,1,,,MSCI CDA ETF,4938735,
464288414,SOLE,ISHARES TR,1,,,NATIONAL MUN ETF,25706686,
464287242,SOLE,ISHARES TR,1,,,IBOXX INV CP ETF,2229400,
464287440,SOLE,ISHARES TR,1,,,7-10 YR TRSY BD,45586900,
464287184,SOLE,ISHARES TR,1,Call,,CHINA LG-CAP ETF,132676500,
464287432,SOLE,ISHARES TR,1,Call,,20 YR TR BD ETF,89370000,
477839AB0,SOLE,JBT MAREL CORPORATION,1,,,NOTE 0.250% 5/1,20230627,
47215PAJ5,SOLE,JD.COM INC,1,,,NOTE 0.250% 6/0,64487754,
G51502105,SOLE,JOHNSON CTLS INTL PLC,1,,,SHS,275645,
485924104,SOLE,KARMAN HLDGS INC,1,,,COMMON STOCK,26301016,
493267108,SOLE,KEYCORP,1,,,COM,16449069,
48251W104,SOLE,KKR & CO INC,1,,,COM,24249580,
G5279N105,SOLE,KLARNA GROUP PLC,1,,,SHS,5705599,
500081104,SOLE,KODIAK AI INC.,1,,,COM,68180969,
500767306,SOLE,KRANESHARES TRUST,1,Call,,CSI CHI INTERNET,100824000,
52110M109,SOLE,LAZARD INC,1,,,COM,6584305,
52476L109,SOLE,LEGENCE CORP,1,,,CL A,4117757,
53626N102,SOLE,LIONSGATE STUDIOS CORP,1,,,COM,2070000,
55024UAD1,SOLE,LUMENTUM HLDGS INC,1,,,NOTE 0.500%12/1,18960838,
V5633W109,SOLE,MAKEMYTRIP LIMITED MAURITIUS,1,,,SHS,898560,
57164YAD9,SOLE,MARRIOTT VACATIONS WORLDWIDE,1,,,NOTE 1/1,76611985,
580907103,SOLE,MCGRAW HILL INC,1,,,COM,1568750,
N5749R100,SOLE,MERUS N V,1,,,COM,38130750,
59356Q108,SOLE,MIAMI INTL HLDGS INC,1,,,COM,4197508,
594918104,SOLE,MICROSOFT CORP,1,,,COM,52697787,
55318A108,SOLE,MNTN INC,1,,,CL A,2384788,
60937P106,SOLE,MONGODB INC,1,,,CL A,11024077,
62482R107,SOLE,MR COOPER GROUP INC,1,,,COM,30871460,
62886HBD2,SOLE,NCL CORP LTD,1,,,NOTE 1.125% 2/1,38802360,
64119N608,SOLE,NETSKOPE INC,1,,,CL A,4891996,
G63755105,SOLE,NIQ GLOBAL INTELLIGENCE PLC,1,,,ORDINARY SHARES,10240482,
67066G104,SOLE,NVIDIA CORPORATION,1,,,COM,102190426,
679295AF2,SOLE,OKTA INC,1,,,NOTE 0.375% 6/1,10212673,
680033107,SOLE,OLD NATL BANCORP IND,1,,,COM,18782286,
68278B107,SOLE,ONESTREAM INC,1,,,CL A,5945518,
687793109,SOLE,OSCAR HEALTH INC,1,,,CL A,1743453,
70339W104,SOLE,PATTERN GROUP INC,1,,,COM SER A,685000,
71377E105,SOLE,PERFORMANT HEALTHCARE INC,1,,,COM,10702958,
69331CAL2,SOLE,PG&E CORP,1,,,NOTE 4.250%12/0,159047846,
732908108,SOLE,PONY AI INC,1,,,SPONSORED ADS,46756688,
73754Y100,SOLE,POTBELLY CORP,1,,,COM,398736,
750236101,SOLE,RADIAN GROUP INC,1,,,COM,6474941,
750491102,SOLE,RADNET INC,1,,,COM,13602037,
750940108,SOLE,RALLIANT CORP,1,,,COM,6519662,
753422AF1,SOLE,RAPID7 INC,1,,,NOTE 0.250% 3/1,68026553,
753422104,SOLE,RAPID7 INC,1,,,COM,2528344,
76954AAB9,SOLE,RIVIAN AUTOMOTIVE INC,1,,,NOTE 4.625% 3/1,154171371,
78781J109,SOLE,SAILPOINT INC,1,,,COM,28625572,
79466L302,SOLE,SALESFORCE INC,1,,,COM,109910172,
G7T16G103,SOLE,SAPIENS INTL CORP N V,1,,,SHS,25941513,
816851109,SOLE,SEMPRA,1,,,COM,17108527,
82489W107,SOLE,SHOALS TECHNOLOGIES GROUP IN,1,,,CL A,5557500,
828730200,SOLE,SIMMONS 1ST NATL CORP,1,,,CL A $1 PAR,6221624,
832248207,SOLE,SMITHFIELD FOODS INC,1,,,COM,8662711,
G8267P108,SOLE,SMURFIT WESTROCK PLC,1,,,SHS,329793621,
83304AAH9,SOLE,SNAP INC,1,,,NOTE 0.125% 3/0,8947286,
833445109,SOLE,SNOWFLAKE INC,1,,,COM SHS,58221898,
88023U101,SOLE,SOMNIGROUP INTERNATIONAL INC,1,,,COM,52739223,
842587DZ7,SOLE,SOUTHERN CO,1,,,NOTE 4.500% 6/1,94021699,
78462F103,SOLE,SPDR S&P 500 ETF TR,1,,,TR UNIT,65137748,
78462F103,SOLE,SPDR S&P 500 ETF TR,1,Put,,TR UNIT,125908020,
78464A474,SOLE,SPDR SERIES TRUST,1,,,PORTFOLIO SHORT,967008,
H8088L103,SOLE,SPORTRADAR GROUP AG,1,,,CLASS A ORD SHS,15753178,
84921RAB6,SOLE,SPOTIFY USA INC,1,,,NOTE 3/1,253122968,
85423L103,SOLE,STANDARDAERO INC,1,,,COM,18721158,
858155203,SOLE,STEELCASE INC,1,,,CL A,21781736,
86384P109,SOLE,STUBHUB HLDGS INC,1,,,CL A,14725148,
86771W105,SOLE,SUNRUN INC,1,,,COM,72997498,
86771WAD7,SOLE,SUNRUN INC,1,,,NOTE 4.000% 3/0,24384927,
86771W105,SOLE,SUNRUN INC,1,Call,,COM,38902500,
87165B103,SOLE,SYNCHRONY FINANCIAL,1,,,COM,11269098,
874039100,SOLE,TAIWAN SEMICONDUCTOR MFG LTD,1,,,SPONSORED ADS,38009135,
874054109,SOLE,TAKE-TWO INTERACTIVE SOFTWAR,1,,,COM,6582496,
87612E106,SOLE,TARGET CORP,1,,,COM,1052360,
87901J105,SOLE,TEGNA INC,1,,,COM,9646585,
87256C101,SOLE,TKO GROUP HOLDINGS INC,1,,,CL A,125216614,
872657101,SOLE,TPG INC,1,,,COM CL A,15882627,
90353T100,SOLE,UBER TECHNOLOGIES INC,1,,,COM,24798068,
903731107,SOLE,UL SOLUTIONS INC,1,,,CLASS A COM SHS,34002880,
91324P102,SOLE,UNITEDHEALTH GROUP INC,1,,,COM,16377579,
91332U101,SOLE,UNITY SOFTWARE INC,1,,,COM,2002000,
92242T101,SOLE,V2X INC,1,,,COM,6209821,
92189F676,SOLE,VANECK ETF TRUST,1,Put,,SEMICONDUCTR ETF,101171600,
92189F676,SOLE,VANECK ETF TRUST,1,,,SEMICONDUCTR ETF,12238500,
925050106,SOLE,VERONA PHARMA PLC,1,,,SPONSORED ADS,30432091,
92556W104,SOLE,VIA TRANSN INC,1,,,COM CL A,1442400,
92719V100,SOLE,VIMEO INC,1,,,COMMON STOCK,22121135,
934423104,SOLE,WARNER BROS DISCOVERY INC,1,Call,,COM SER A,9765000,
946784105,SOLE,WAYSTAR HLDG CORP,1,,,COM,12800048,
97717PAD6,SOLE,WISDOMTREE INC,1,,,NOTE 3.250% 6/1,5147551,
97785W106,SOLE,WOLFSPEED INC,1,,,COMMON STOCK,1401343,
97785W106,SOLE,WOLFSPEED INC,1,Put,,COMMON STOCK,7101490,
989207105,SOLE,ZEBRA TECHNOLOGIES CORPORATI,1,,,CL A,14297259,
