cusip,investmentdiscretion,nameofissuer,othermanager,putcall,shrsorprnamt,titleofclass,value,votingauthority
10948W103,SOLE,ACADIAN ASSET MANAGEMENT INC,1,,,COM,22015284,
G00894108,SOLE,ACCELERANT HOLDINGS,1,,,CL A,3350250,
G1151C101,SOLE,ACCENTURE PLC IRELAND,1,,,SHS CLASS A,24723869,
00090Q103,SOLE,ADT INC DEL,1,,,COM,10645554,
00912X302,SOLE,AIR LEASE CORP,1,,,CL A,7210145,
009422106,SOLE,AIRO GROUP HLDGS INC,1,,,COM,3806861,
00971TAL5,SOLE,AKAMAI TECHNOLOGIES INC,1,,,NOTE 0.375% 9/0,22043429,
018802AC2,SOLE,ALLIANT ENERGY CORP,1,,,NOTE 3.875% 3/1,51205682,
020002101,SOLE,ALLSTATE CORP,1,,,COM,15040526,
02005N100,SOLE,ALLY FINL INC,1,,,COM,28917840,
02043Q107,SOLE,ALNYLAM PHARMACEUTICALS INC,1,,,COM,1958520,
02079K305,SOLE,ALPHABET INC,1,,,CAP STK CL A,160049018,
023135106,SOLE,AMAZON COM INC,1,,,COM,488803880,
023135106,SOLE,AMAZON COM INC,1,Call,,COM,32935500,
G0260P102,SOLE,AMER SPORTS INC,1,,,COM SHS,15867545,
H2927K103,SOLE,AMRIZE LTD,1,,,SHS,29118000,
032654105,SOLE,ANALOG DEVICES INC,1,,,COM,13857480,
75605Y106,SOLE,ANYWHERE REAL ESTATE INC,1,,,COM,2113891,
037833100,SOLE,APPLE INC,1,,,COM,89053278,
038222105,SOLE,APPLIED MATLS INC,1,,,COM,11355699,
03852U106,SOLE,ARAMARK,1,,,COM,87179021,
049468101,SOLE,ATLASSIAN CORPORATION,1,,,CL A,11244637,
088929104,SOLE,BGC GROUP INC,1,,,CL A,41583275,
092244102,SOLE,BLACK ROCK COFFEE BAR INC,1,,,CL A,9209006,
09857L108,SOLE,BOOKING HOLDINGS INC,1,,,COM,13498175,
10922N103,SOLE,BRIGHTHOUSE FINL INC,1,,,COM,34401997,
115236101,SOLE,BROWN & BROWN INC,1,,,COM,797215,
G16910120,SOLE,BULLISH,1,,,ORD SHS,13056589,
M20791105,SOLE,CAMTEK LTD,1,,,ORD,4685230,
138103106,SOLE,CANTALOUPE INC,1,,,COM,13156690,
14174T107,SOLE,CARETRUST REIT INC,1,,,COM,18229750,
142152107,SOLE,CARIS LIFE SCIENCES INC,1,,,COM,1683413,
15189TBD8,SOLE,CENTERPOINT ENERGY INC,1,,,NOTE 4.250% 8/1,111071685,
16115Q308,SOLE,CHART INDS INC,1,,,COM,15470394,
16935C109,SOLE,CHIME FINL INC,1,,,COM SHS CL A,959326,
17253J106,SOLE,CIPHER MINING INC,1,,,COM,2614125,
172573107,SOLE,CIRCLE INTERNET GROUP INC,1,,,COM CL A,26842810,
18915MAC1,SOLE,CLOUDFLARE INC,1,,,NOTE 8/1,31101265,
12572Q105,SOLE,CME GROUP INC,1,,,COM,8113265,
