cusip,investmentdiscretion,nameofissuer,shrsorprnamt,titleofclass,value,votingauthority
88025U109,SOLE,10X Genomics Inc,,Common Stock,160870554,
88554D205,SOLE,3D Systems Corp,,Common Stock,2219051,
88579Y101,SOLE,3M Co,,Common Stock,82057,
65443P102,SOLE,908 Devices Inc,,Common Stock,18882224,
00091E109,SOLE,Absci Corp,,Common Stock,25818035,
00650F109,SOLE,Adaptive Biotechnologies Corp,,Common Stock,46792053,
00724F101,SOLE,Adobe Inc,,Common Stock,526157,
007903107,SOLE,Advanced Micro Devices Inc,,Common Stock,384280122,
008073108,SOLE,AeroVironment Inc,,Common Stock,88551062,
009066101,SOLE,Airbnb Inc,,Common Stock,104883259,
016255101,SOLE,Align Technology Inc,,Common Stock,1174793,
M0854Q105,SOLE,Allot Ltd,,Common Stock,2356938,
02079K107,SOLE,Alphabet Inc,,Common Stock,23728751,
023135106,SOLE,Amazon.com Inc,,Common Stock,250213034,
031100100,SOLE,AMETEK Inc,,Common Stock,1220213,
031162100,SOLE,Amgen Inc,,Common Stock,16175456,
03662Q105,SOLE,ANSYS Inc,,Common Stock,3602464,
03945R102,SOLE,Archer Aviation Inc,,Common Stock,321002716,
03969T109,SOLE,Arcturus Therapeutics Holdings,,Common Stock,22312669,
040919102,SOLE,ARK 21Shares Bitcoin ETF,,ETP,237001666,
00214Q302,SOLE,ARK Genomic Revolution ETF,,ETP,105227,
00214Q104,SOLE,ARK Innovation ETF,,ETP,755450,
01741R102,SOLE,ATI Inc,,Common Stock,13383,
M15342104,SOLE,AudioCodes Ltd,,Common Stock,1796520,
051774107,SOLE,Aurora Innovation Inc,,Common Stock,14316728,
052769106,SOLE,Autodesk Inc,,Common Stock,4073012,
05368V106,SOLE,Avient Corp,,Common Stock,73861,
056752108,SOLE,Baidu Inc,,ADR,25251775,
07373V105,SOLE,Beam Therapeutics Inc,,Common Stock,150501768,
090043100,SOLE,BILL Holdings Inc,,Common Stock,6871599,
092667104,SOLE,Blade Air Mobility Inc,,Common Stock,34656525,
852234103,SOLE,Block Inc,,Common Stock,210016125,
10501L106,SOLE,Brainsway Ltd,,ADR,2627712,
124155102,SOLE,Butterfly Network Inc,,Common Stock,12832484,
05605H100,SOLE,BWX Technologies Inc,,Common Stock,92349519,
13321L108,SOLE,Cameco Corp,,Common Stock,20624731,
M20791105,SOLE,Camtek Ltd/Israel,,Common Stock,2315760,
14167L103,SOLE,CareDx Inc,,Common Stock,41037064,
142152107,SOLE,Caris Life Sciences Inc,,Common Stock,1257173,
144285103,SOLE,Carpenter Technology Corp,,Common Stock,114421,
149123101,SOLE,Caterpillar Inc,,Common Stock,10821742,
M2197Q107,SOLE,Cellebrite DI Ltd,,Common Stock,1377008,
157085101,SOLE,Cerus Corp,,Common Stock,27082722,
M22465104,SOLE,Check Point Software Technolog,,Common Stock,1695439,
172573107,SOLE,Circle Internet Group Inc,,Common Stock,530165020,
18915M107,SOLE,Cloudflare Inc,,Common Stock,40009244,
M25133105,SOLE,Cognyte Software Ltd,,Common Stock,1595351,
19260Q107,SOLE,Coinbase Global Inc,,Common Stock,919387812,
20451W101,SOLE,Compass Pathways Plc,,ADR,4617818,
M25722105,SOLE,Compugen Ltd,,Common Stock,1784831,
21873S108,SOLE,CoreWeave Inc,,Common Stock,55398657,
H17182108,SOLE,CRISPR Therapeutics AG,,Common Stock,495281183,
22788C105,SOLE,Crowdstrike Holdings Inc,,Common Stock,62334960,
M2682V108,SOLE,CyberArk Software Ltd,,Common Stock,2023007,
23804L103,SOLE,Datadog Inc,,Common Stock,18993053,
244199105,SOLE,Deere & Co,,Common Stock,113989012,
24906P109,SOLE,DENTSPLY SIRONA Inc,,Common Stock,3381789,
25809K105,SOLE,DoorDash Inc,,Common Stock,44007458,
26142V105,SOLE,DraftKings Inc,,Common Stock,191738925,
26614N102,SOLE,DuPont de Nemours Inc,,Common Stock,76889,
277432100,SOLE,Eastman Chemical Co,,Common Stock,68538,
277461406,SOLE,Eastman Kodak Co,,Common Stock,62868,
M3760D101,SOLE,Elbit Systems Ltd,,Common Stock,21584541,
G32089107,SOLE,Etoro Group Ltd,,Common Stock,16516451,
30063P105,SOLE,Exact Sciences Corp,,Common Stock,1913,
311642102,SOLE,FARO Technologies Inc,,Common Stock,4938540,
M4R82T106,SOLE,Fiverr International Ltd,,Common Stock,1962353,
