cusip,investmentdiscretion,nameofissuer,shrsorprnamt,titleofclass,value,votingauthority
36118L106,SOLE,Futu Holdings Ltd,,ADR,16120956,
H2906T109,SOLE,Garmin Ltd,,Common Stock,5441957,
369604301,SOLE,GE Aerospace,,Common Stock,1301106,
G3934V109,SOLE,Genius Sports Ltd,,Common Stock,39183331,
M51474118,SOLE,Gilat Satellite Networks Ltd,,Common Stock,1891180,
37637K108,SOLE,Gitlab Inc,,Common Stock,148533039,
M5216V106,SOLE,Global-e Online Ltd,,Common Stock,12710385,
40131M109,SOLE,Guardant Health Inc,,Common Stock,146934791,
422806109,SOLE,HEICO Corp,,Common Stock,4831112,
428291108,SOLE,Hexcel Corp,,Common Stock,76487,
438516106,SOLE,Honeywell International Inc,,Common Stock,3668326,
40434L105,SOLE,HP Inc,,Common Stock,2707086,
451051106,SOLE,Ibotta Inc,,Common Stock,23844424,
452327109,SOLE,Illumina Inc,,Common Stock,111446333,
45337C102,SOLE,Incyte Corp,,Common Stock,10464230,
M5425M103,SOLE,Inmode Ltd,,Common Stock,1594912,
45826J105,SOLE,Intellia Therapeutics Inc,,Common Stock,122107675,
45866F104,SOLE,Intercontinental Exchange Inc,,Common Stock,10216160,
461202103,SOLE,Intuit Inc,,Common Stock,11892425,
46125A100,SOLE,Intuitive Machines Inc,,Common Stock,12595884,
46120E602,SOLE,Intuitive Surgical Inc,,Common Stock,11054046,
462222100,SOLE,Ionis Pharmaceuticals Inc,,Common Stock,35571574,
46269C102,SOLE,Iridium Communications Inc,,Common Stock,160912540,
46438R105,SOLE,iShares Ethereum Trust ETF,,ETP,120179,
464287622,SOLE,iShares Russell 1000 ETF,,ETP,98,
464287614,SOLE,iShares Russell 1000 Growth ET,,ETP,301626,
M6158M104,SOLE,Ituran Location and Control Lt,,Common Stock,1914811,
466313103,SOLE,Jabil Inc,,Common Stock,115375,
M6191J100,SOLE,JFrog Ltd,,Common Stock,2325508,
G65163100,SOLE,Joby Aviation Inc,,Common Stock,37003123,
483007704,SOLE,Kaiser Aluminum Corp,,Common Stock,1342959,
M6240T109,SOLE,Kamada Ltd,,Common Stock,1971670,
48581R205,SOLE,Kaspi.KZ JSC,,ADR,10246563,
489170100,SOLE,Kennametal Inc,,Common Stock,78064,
50077B207,SOLE,Kratos Defense & Security Solu,,Common Stock,209382292,
502431109,SOLE,L3Harris Technologies Inc,,Common Stock,37708526,
533900106,SOLE,Lincoln Electric Holdings Inc,,Common Stock,1077442,
539830109,SOLE,Lockheed Martin Corp,,Common Stock,2253176,
559166103,SOLE,Magic Software Enterprises Ltd,,Common Stock,2388298,
57667T100,SOLE,Materialise NV,,ADR,3200770,
576690101,SOLE,Materion Corp,,Common Stock,71512,
M68830112,SOLE,MediWound Ltd,,Common Stock,1833758,
58733R102,SOLE,MercadoLibre Inc,,Common Stock,66088248,
30303M102,SOLE,Meta Platforms Inc,,Common Stock,214415079,
594918104,SOLE,Microsoft Corp,,Common Stock,1298738,
60741F104,SOLE,Mobileye Global Inc,,Common Stock,2464213,
M7S64H106,SOLE,Monday.com Ltd,,Common Stock,2101041,
615394202,SOLE,Moog Inc,,Common Stock,1002936,
63008G203,SOLE,Nano Dimension Ltd,,ADR,2880109,
M70700105,SOLE,Nano-X Imaging Ltd,,Common Stock,1629031,
632307104,SOLE,Natera Inc,,Common Stock,158194142,
M7S750159,SOLE,Nayax Ltd,,Common Stock,2107461,
65345M108,SOLE,Nextdoor Holdings Inc,,Common Stock,13058999,
653656108,SOLE,Nice Ltd,,ADR,1846355,
M7516K103,SOLE,Nova Ltd,,Common Stock,2582752,
G6683N103,SOLE,NU Holdings Ltd/Cayman Islands,,Common Stock,16102821,
67080M103,SOLE,Nurix Therapeutics Inc,,Common Stock,17939611,
67066G104,SOLE,NVIDIA Corp,,Common Stock,160052324,
02156V109,SOLE,Oklo Inc,,Common Stock,10644315,
69404D108,SOLE,Pacific Biosciences of Califor,,Common Stock,45009723,
M7S64L123,SOLE,Pagaya Technologies Ltd,,Common Stock,3683030,
69553P100,SOLE,PagerDuty Inc,,Common Stock,131448269,
69608A108,SOLE,Palantir Technologies Inc,,Common Stock,555676600,
70450Y103,SOLE,PayPal Holdings Inc,,Common Stock,11693212,
M78673114,SOLE,Perion Network Ltd,,Common Stock,1842499,
71535D106,SOLE,Personalis Inc,,Common Stock,46627975,
72352L106,SOLE,Pinterest Inc,,Common Stock,141377207,
72815L107,SOLE,Playtika Holding Corp,,Common Stock,1603356,
74168J101,SOLE,Prime Medicine Inc,,Common Stock,5736992,
743713109,SOLE,Proto Labs Inc,,Common Stock,3183140,
69370C100,SOLE,PTC Inc,,Common Stock,3278596,
74624M102,SOLE,Pure Storage Inc,,Common Stock,17753354,
747525103,SOLE,QUALCOMM Inc,,Common Stock,31825404,
74765K105,SOLE,Quantum-Si Inc,,Common Stock,15603043,
M81865111,SOLE,RADCOM Ltd,,Common Stock,2011959,
M81873107,SOLE,Radware Ltd,,Common Stock,2301590,
75629V104,SOLE,Recursion Pharmaceuticals Inc,,Common Stock,166922471,
75734B100,SOLE,Reddit Inc,,Common Stock,23415592,
75886F107,SOLE,Regeneron Pharmaceuticals Inc,,Common Stock,6618213,
M8216R109,SOLE,Riskified Ltd,,Common Stock,1816669,
770700102,SOLE,Robinhood Markets Inc,,Common Stock,728990490,
771049103,SOLE,ROBLOX Corp,,Common Stock,712130147,
773121108,SOLE,Rocket Lab Corp,,Common Stock,88368569,
77543R102,SOLE,Roku Inc,,Common Stock,743556287,
781154109,SOLE,Rubrik Inc,,Common Stock,23616999,
79466L302,SOLE,Salesforce Inc,,Common Stock,19368080,
G7T16G103,SOLE,Sapiens International Corp NV,,Common Stock,1850589,
M82363124,SOLE,SatixFy Communications Ltd,,Common Stock,2391522,
80810D103,SOLE,Schrodinger Inc/United States,,Common Stock,39420330,
81141R100,SOLE,Sea Ltd,,ADR,24815288,
82509L107,SOLE,Shopify Inc,,Common Stock,582460786,
M84137104,SOLE,SimilarWeb Ltd,,Common Stock,1900181,
83406F102,SOLE,SoFi Technologies Inc,,Common Stock,80563865,
78462F103,SOLE,SPDR S&P 500 ETF Trust,,ETP,556,
L8681T102,SOLE,Spotify Technology SA,,Common Stock,56925325,
34385P108,SOLE,Standard BioTools Inc,,Common Stock,3786065,
M85548101,SOLE,Stratasys Ltd,,Common Stock,5379820,
87151X101,SOLE,Symbotic Inc,,Common Stock,17307597,
871607107,SOLE,Synopsys Inc,,Common Stock,13899780,
M8744T106,SOLE,Taboola.com Ltd,,Common Stock,2161270,
874039100,SOLE,Taiwan Semiconductor Manufactu,,ADR,158300656,
M8740S227,SOLE,TAT Technologies Ltd,,Common Stock,1823664,
879360105,SOLE,Teledyne Technologies Inc,,Common Stock,16331930,
88023B103,SOLE,Tempus AI Inc,,Common Stock,471579266,
880770102,SOLE,Teradyne Inc,,Common Stock,195502875,
88160R101,SOLE,Tesla Inc,,Common Stock,977587306,
881624209,SOLE,Teva Pharmaceutical Industries Ltd,,ADR,2025848,
00214Q500,SOLE,The 3D Printing ETF,,ETP,3613957,
888787108,SOLE,Toast Inc,,Common Stock,83171394,
M87915274,SOLE,Tower Semiconductor Ltd,,Common Stock,2008796,
88339J105,SOLE,The Trade Desk Inc,,Common Stock,106280098,
896239100,SOLE,Trimble Inc,,Common Stock,61314948,
90184D100,SOLE,Twist Bioscience Corp,,Common Stock,235472218,
911312106,SOLE,United Parcel Service Inc,,Common Stock,951662,
91332U101,SOLE,Unity Software Inc,,Common Stock,21335505,
M96088105,SOLE,UroGen Pharma Ltd,,Common Stock,2275488,
M9607U115,SOLE,Valens Semiconductor Ltd,,Common Stock,1841899,
922908736,SOLE,Vanguard Growth ETF,,ETP,120398,
922475108,SOLE,Veeva Systems Inc,,Common Stock,14357931,
92337F107,SOLE,Veracyte Inc,,Common Stock,102716395,
92532F100,SOLE,Vertex Pharmaceuticals Inc,,Common Stock,10712990,
M98068105,SOLE,Wix.com Ltd,,Common Stock,1630553,
98423F109,SOLE,Xometry Inc,,Common Stock,4114439,
98954M200,SOLE,Zillow Group Inc,,Common Stock,8751907,
