cusip,investmentdiscretion,nameofissuer,shrsorprnamt,titleofclass,value,votingauthority
02079K107,SOLE,ALPHABET INC,,CAP STK CL C,1540217750,
02079K305,SOLE,ALPHABET INC,,CAP STK CL A,1177569836,
023135106,SOLE,AMAZON COM INC,,COM,1278625494,
11271J107,SOLE,BROOKFIELD CORP,,CL A LTD VT SH,2813167442,
169656105,SOLE,CHIPOTLE MEXICAN GRILL INC,,COM,844198727,
42806J700,SOLE,HERTZ GLOBAL HLDGS INC,,COM NEW,103639664,
43300A203,SOLE,HILTON WORLDWIDE HLDGS INC,,COM,786253156,
44267T102,SOLE,HOWARD HUGHES HOLDINGS INC,,COM,1549074099,
76131D103,SOLE,RESTAURANT BRANDS INTL INC,,COM,1469799913,
812215200,SOLE,SEAPORT ENTMT GROUP INC,,COMMON STOCK,115145038,
90353T100,SOLE,UBER TECHNOLOGIES INC,,COM,2965602648,
