cusip,investmentdiscretion,nameofissuer,othermanager,putcall,shrsorprnamt,titleofclass,value,votingauthority
38141G104,SOLE,GOLDMAN SACHS GROUP INC,1,,,COM,14835148,
G4124C109,SOLE,GRAB HOLDINGS LIMITED,1,,,CLASS A ORD,73825,
399909100,SOLE,GRUPO FINANCIERO GALICIA S.A,1,,,SPONSORED ADR,11501618,
G42706104,SOLE,HAMILTON INSURANCE GROUP LTD,1,,,CL B,2594400,
433313103,SOLE,HINGE HEALTH INC,1,,,CL A,3881250,
436440101,SOLE,HOLOGIC INC,1,,,COM,2550167,
451107106,SOLE,IDACORP INC,1,,,COM,46918880,
45167R104,SOLE,IDEX CORP,1,,,COM,19562009,
45841N107,SOLE,INTERACTIVE BROKERS GROUP IN,1,,,COM CL A,123770813,
460690100,SOLE,INTERPUBLIC GROUP COS INC,1,,,COM,28371096,
46090E103,SOLE,INVESCO QQQ TR,1,Call,,UNIT SER 1,220656000,
46434G764,SOLE,ISHARES INC,1,,,MSCI EMRG CHN,22394874,
464286509,SOLE,ISHARES INC,1,,,MSCI CDA ETF,4513740,
464288414,SOLE,ISHARES TR,1,,,NATIONAL MUN ETF,25221472,
464287242,SOLE,ISHARES TR,1,,,IBOXX INV CP ETF,2192200,
464287465,SOLE,ISHARES TR,1,Put,,MSCI EAFE ETF,89390000,
464287184,SOLE,ISHARES TR,1,Call,,CHINA LG-CAP ETF,55140000,
464287440,SOLE,ISHARES TR,1,,,7-10 YR TRSY BD,47885000,
464287655,SOLE,ISHARES TR,1,Call,,RUSSELL 2000 ETF,64737000,
464287655,SOLE,ISHARES TR,1,Put,,RUSSELL 2000 ETF,226579500,
477839104,SOLE,JBT MAREL CORPORATION,1,,,COM,39722600,
47215PAJ5,SOLE,JD.COM INC,1,,,NOTE 0.250% 6/0,39128878,
G51502105,SOLE,JOHNSON CTLS INTL PLC,1,,,SHS,17354422,
485924104,SOLE,KARMAN HLDGS INC,1,,,COMMON STOCK,23385784,
487836108,SOLE,KELLANOVA,1,,,COM,22275001,
G52441105,SOLE,KESTRA MED TECHNOLOGIES LTD,1,,,SHS,248700,
493267108,SOLE,KEYCORP,1,,,COM,13432562,
48251W104,SOLE,KKR & CO INC,1,,,COM,45653901,
500767306,SOLE,KRANESHARES TRUST,1,,,CSI CHI INTERNET,10072559,
52110M109,SOLE,LAZARD INC,1,,,COM,7712785,
530307305,SOLE,LIBERTY BROADBAND CORP,1,,,COM SER C,141705667,
G5490M118,SOLE,LIGHTWAVE ACQUISITION CORP,1,,,UNIT 06/06/2030,2012000,
53947R105,SOLE,LOAR HOLDINGS INC,1,,,COM SHS,14869840,
548661107,SOLE,LOWES COS INC,1,Put,,COM,38827250,
548661107,SOLE,LOWES COS INC,1,,,COM,6656100,
55024UAD1,SOLE,LUMENTUM HLDGS INC,1,,,NOTE 0.500%12/1,13217459,
G5S37H101,SOLE,MAREX GROUP PLC,1,,,ORD,4913068,
57164YAD9,SOLE,MARRIOTT VACATIONS WORLDWIDE,1,,,NOTE 1/1,91988367,
594918104,SOLE,MICROSOFT CORP,1,,,COM,16618468,
