cusip,investmentdiscretion,nameofissuer,shrsorprnamt,titleofclass,value,votingauthority
02079K107,SOLE,ALPHABET INC,,CAP STK CL C,1121819859,
02079K305,SOLE,ALPHABET INC,,CAP STK CL A,945117965,
023135106,SOLE,AMAZON COM INC,,COM,1277577297,
11271J107,SOLE,BROOKFIELD CORP,,CL A LTD VT SH,2545770554,
169656105,SOLE,CHIPOTLE MEXICAN GRILL INC,,COM,1209537089,
42806J700,SOLE,HERTZ GLOBAL HLDGS INC,,COM NEW,104096897,
43300A203,SOLE,HILTON WORLDWIDE HLDGS INC,,COM,807164145,
44267T102,SOLE,HOWARD HUGHES HOLDINGS INC,,COM,1272514320,
76131D103,SOLE,RESTAURANT BRANDS INTL INC,,COM,1524730589,
812215200,SOLE,SEAPORT ENTMT GROUP INC,,COMMON STOCK,93693497,
90353T100,SOLE,UBER TECHNOLOGIES INC,,COM,2827098321,
